channelId,collabo_level
UCPoEbybnhgG_ZbjtSiu-sLw,5
UCegFQTNyFwva_1SD4DQAoaw,5
UCuJSjf9iVpdNR-xuK--t2PQ,5
UCBDqklAFOTUC3A4_1bGrgOg,5
UC-rOEaaqTBZKIO6jSdXpdPQ,5
UCFR0X75rua1_CJn3oGfVllA,5
UCV2qgpkQnRfLVV9wGmd-nAQ,5
UCisn8Bft-vl24GIVJHUspdQ,5
UCzLZXm8ydCqmu-ZDc9BzRzA,5
UC3DAn3SqfD81mbVZuW9igUA,5
UCIYJG2GEjkbB9LUfnAxaitA,5
UCYP4uwUUlKk25zty-mGo_eg,5
UCmQDLvbTP7HlH5pANE-HU0Q,5
UC6SYWBb8lhHYKybg9Ppr56Q,5
UCMPGW-nQZ7iB4UFx5MaBxMg,5
UCbF5xOeqwFJuiV5YIBohqtw,5
UCr9QqMJnfoGggw9k_aKbejQ,5
UC7R2tH4OhJE5Zt6L4N6bOnw,5
UCPVZX6S61CA9WNqNLH7Mtfw,5
UCeJWc7XvjRPA21ONtpjKoig,5
UCu0mhy-70kx9QiEFHa78C0Q,5
UCAXPDnlQ6vzokSt5s5Ji8Cg,5
UC-JMcp7uJGMfIcnnBbqJoSA,5
UCF3Tx4phmHPBTW7DmtBgCxA,5
UCUO-qF1RHXlACVv9Kk6tqQA,5
UCiLS0fmHp1o8CmnZ3ZZr3CA,5
UCz2xefa2pk2JbnqdMJCZeEw,5
UC2ipRk9sIWR04X-a0_m3lGg,5
UCI8e9ezdnCo0XCMxD3T_tGQ,5
UCY-Oxz5wxsT4hwbRjql7dBA,5
UCm9AGKrsZ53TkKmSrHo5Q_g,5
UC64lAAAboDtVyX5DohKvVnA,5
UCLpSSw-OLQM9xCEbyEmFstw,5
UCas9JFWZt89nd60bwI6CgIw,5
UCqvd6XtslWgRbonU-1WdrPw,5
UC7Dnvsvhbk9bE5njFbLIqTA,5
UCPF3i4x4SlmPubGVyCH6dNA,5
UCdzKTwB9PsvaKZ7Mvrqv_tw,5
UCtkGOznk3wMW5fjmbbsvqEw,5
UC9xcn33zRbepmrOa2XH_VxQ,5
UCEYk401LPdxlAdSGtyrU7Mg,5
UCTtQ-MDpxl0DEKJige2SZWA,5
UChgfPYHfd5ro0vJ5NxWYraQ,5
UCyg4IhO6RfXOND36_NsDq8g,5
UCDlTygk6Sjno2bnntb0xsVQ,5
UC2MkLU3GCVJpD58pSkP18Nw,5
UCHgEJRKrGLo6_KQebRvkxXQ,5
UCXph8kapJX0cvQmGjsBbzRw,5
UClUo-eYzNkmoTZlzPRnqhHg,5
UC5cLyxwU-kuuAWtMdBa6fQg,5
UCLNIbYQkp3qIbLY-gzvD4kw,5
UCaXfFDauhubIgmaTKxM74Kw,5
UCqLZDMiaJ5FF_y4LUOudTnw,5
UC73svGt-9X7l75jQKU1DesQ,5
UCOxohJIhH4EMGSKIaXmIueg,5
UCdfGI5MQJAFRRYtrq21ZhQA,5
UC--CIQrRRGbLzEtp8ovlAzQ,5
UCEZfq7r0TTYNzh-p9E1V1ZA,5
UCTyUsII-tj-smDn-Tg80HBQ,5
UChof6rqYzGhrcp_un351UYA,5
UCykD43xGFVhUfaOPPVcW4ow,5
UCDrUFPA9BKysAjs67vFIsoQ,5
UC2PUfUZJtU18cg96J3XJgGA,5
UCHgNZ1lX6BC8GKaOMz00n5g,5
UCXqwkK6zlTYYRNlUbo21YuQ,5
UClWJRvckX0yceoxeMfT3u_w,5
UC5csJ6hBMLhxBAtJ7Mi0BsA,5
UCKnALOlQPa3LqmeNWLHXsyg,5
UCLR94qSiVaa0LJCJnIXjEjA,5
UCaXng-3y1HCwt1si1_LxbzQ,5
UCqMq7MTkHtPxV4SFS1c3avg,5
