channelId,customer_illust,customer_2d_modeling,customer_3d_modeling,customer_event,customer_talk,customer_comedy,customer_game,customer_sing,customer_perform,customer_composition,customer_video_edit,customer_foreign_lng,cluster
UC16DK2sdofXQfShdlf4Bjag,0,0,0,0,0,0,1,1,0,0,0,0,3:歌
UC16d4b4gNRmPjqaCuOOJVqA,0,0,0,1,0,0,1,0,0,0,0,0,5:一般的
UC1AyCiv-RzVLZbQOtqyDKzA,1,1,0,1,1,1,1,0,0,0,0,0,1:企画・お笑い・トーク
UC1BiQwqgvFNli5m48p4yRqg,0,0,0,0,1,0,1,1,0,0,0,0,3:歌
UC1D6BasOxK0jXGRm1HmncaA,0,0,1,0,1,0,0,0,0,0,0,0,2:イラスト・2Dモデル
UC1H4wogIvYz7aVmaDpFA99Q,1,0,0,0,0,0,1,0,0,0,0,0,2:イラスト・2Dモデル
UC1Hr64qXZWAIOpx2PsnAu9A,0,0,0,0,0,0,1,0,0,0,0,0,5:一般的
UC1Je5rfcripQtpev7f-1Idw,0,0,0,0,0,0,0,1,0,0,0,0,3:歌
UC1M0hXl3p86WP_eqgv20oWw,0,0,0,0,0,0,0,1,0,0,0,0,3:歌
UC1O739Bs_hJN35_doH8nwUQ,0,0,0,1,1,0,1,1,0,0,0,0,1:企画・お笑い・トーク
UC1UtoxnTjGDok3azO2rRkCw,1,0,0,0,0,0,0,0,0,0,0,0,2:イラスト・2Dモデル
UC1WAEoIIcv5Q3bL9UP5mSSQ,0,0,0,1,1,1,0,0,0,0,0,0,1:企画・お笑い・トーク
UC1bB4d5Bgv6XnZoN3Lk1qOg,0,0,0,0,1,0,1,1,0,0,0,0,3:歌
UC1eCFqwn3Ds6kDnpMYt0oTQ,0,0,0,1,0,0,1,1,1,0,0,0,4:動画編集
UC1jWtttNKgM_wQ7m6ggYFbw,0,0,0,1,1,0,1,1,0,0,0,1,5:一般的
UC1ldvNjvkH1BFxS4jWpsv2g,0,0,0,0,0,0,1,0,0,0,0,0,5:一般的
UC1niXF1Af5HyHt2zH3r5TuA,0,0,0,0,1,1,1,1,0,0,1,0,4:動画編集
UC1qyF4v435EjuKNdWtv78hw,0,0,0,1,0,0,1,0,0,0,1,0,4:動画編集
UC1rnSfnNW-45z0H-h8eV6zw,1,1,0,0,1,0,1,0,0,0,0,0,5:一般的
UC1xfK2bcKqZ13nDRs0u4iFQ,0,0,0,0,0,0,1,1,0,0,0,0,3:歌
UC21DkLrQeAnUVokuiKTYVQg,0,0,0,0,1,0,1,1,0,0,0,0,3:歌
UC21kFbD7byARmZ-oCmyuq5Q,0,0,0,1,1,0,1,1,0,0,0,0,1:企画・お笑い・トーク
UC24_LEm6ddEpG60uL7F85AQ,1,0,0,1,0,0,1,0,0,0,0,0,1:企画・お笑い・トーク
UC24jXUR8FlMvxtpZYmQiVqA,0,0,0,0,1,0,1,0,0,0,0,0,5:一般的
UC29o1LO2_FAi_NQar3F4-yw,1,0,0,0,0,0,0,0,0,0,0,0,2:イラスト・2Dモデル
UC2Cjji6DPdKxHZqXtDiVpiQ,0,0,0,0,0,0,1,0,0,0,1,1,4:動画編集
UC2EFpg8OBlhXDTL74SRnIyQ,0,0,1,1,0,0,1,0,0,0,0,0,4:動画編集
UC2GSF2gbol49r3e7ZuZupfA,1,0,1,0,0,0,0,0,0,0,0,0,2:イラスト・2Dモデル
UC2GlSOsnVE9y91AO08IiXwg,1,0,0,1,1,0,0,0,0,0,1,1,4:動画編集
UC2JVuvAo74kqPH0GXC8JcBw,0,0,0,0,0,0,0,0,0,1,0,0,5:一般的
UC2K8sRze5m27lPGddWX0EXw,0,0,0,0,0,0,1,1,0,0,1,1,4:動画編集
UC2PFRFwwzPst3bdTWE8EuVg,0,0,0,0,0,0,1,0,0,0,0,0,5:一般的
UC2RLL3W-negkiUdeAXV9dsw,0,1,0,0,1,0,1,0,0,0,0,0,5:一般的
UC2Vyy8we1hHf5Qcud01WMjA,0,0,0,1,1,0,0,1,0,0,0,0,1:企画・お笑い・トーク
UC2YSkjrHkjqW74aVwng_5Lw,0,0,0,0,0,0,1,0,0,0,0,0,5:一般的
UC2ZWmqiY0OJHz1QNS4Bj8Eg,0,0,0,1,1,0,1,0,0,0,0,0,1:企画・お笑い・トーク
UC2aBQtucR2iIAm_yZhzBPVQ,0,0,0,0,0,0,1,0,0,0,0,0,5:一般的
UC2fzIs-C_0SkjzZPi7dlhuQ,0,0,0,1,1,0,1,1,0,0,0,0,1:企画・お笑い・トーク
