channelId,title,publishedAt,viewCount,subscriberCount,hiddenSubscriberCount,videoCount
UCPH9l0djaaSSGK_oaL3pZdA,"野良マオ / noramao",2014-08-18T10:36:49Z,59938,250,False,213
UChhyZhh-lNF040FnF8ButLg,"Teku ch. 甘木てく",2022-03-12T15:58:06.556425Z,68690,1750,False,87
UCRJtb-Qb2xzr1g29CoMVs2A,"やくも",2023-12-27T16:10:17.171563Z,0,92,False,0
UCAicTJ2JDTuO3PYBD_RZdFA,"金澤すみね",2021-12-09T20:46:36.54569Z,14083,600,False,88
UCEqMTXfxDXg92qxq1dmzWQw,"ラナ・グリーン / Lana Green",2021-08-07T13:27:06.808542Z,77928,1090,False,455
UCLgKyQNqFy8zZYviLgikvaQ,"陽未音ななみ 73 Ch",2020-12-28T09:02:55.644886Z,49088,114,False,121
UCtn50MY8Uj9bpIfP_9CIhVw,"夏宮るびぃ /RubyChannel",2022-02-14T09:57:42.979473Z,46612,1170,False,194
UCFLctIa0N7ViA4KGMaYgS_Q,"Yu Ch. 緑川ユウ",2022-08-08T13:06:47.686398Z,1712,102,False,6
UCcdcxHO11d4ZNyu2Ph_OQFg,"ただちゃん",2017-11-14T12:55:23Z,78635,10000,False,132
UCKhmObAF1UtqnXQUSRB195w,"るてら(rutera)Ch ",2023-08-14T07:41:53.401585Z,30482,1510,False,208
UC7D4heQdNoSzh6nC3i3b6yA,"みけしゅ",2013-10-12T06:33:36Z,298099,1030,False,265
UCmb-VJHhQdNA--cvBr-v-Tg,"たまき のら / Tamaki Nora ch",2017-02-19T06:49:46Z,19223,195,False,217
UCGc49DwG_XT5hh097ySbnew,"Nanae Ch. / 朝日奈ななえ",2021-09-16T11:53:08.50529Z,35494,614,False,273
UC5xLmf6d1fhrbOXbinx2VhA,"天神 照 -Amagami Teras-",2022-01-01T12:05:16.187328Z,12275,173,False,181
UCUHTLKAwCH4t0cZTZVjGe8Q,"城島りあー / LEAR's ch",2011-12-30T00:22:18Z,4064036,11300,False,482
UCebEOWSGmXzgU_MtEN3dQKg,"金井 えない / Kanai Enai",2023-05-23T09:38:18.847513Z,584654,1090,False,383
UCNP2RXjccahyZzzHtDEdnBQ,"つきぼしちゃんねる",2018-08-22T09:19:30Z,38507,484,False,597
UCK71Xa8yBHllg1yUhD0v6Iw,"たーにゃん🍶🐾",2013-08-21T09:48:42Z,85700,943,False,728
