channelId,customer_illust,customer_2d_modeling,customer_3d_modeling,customer_event,customer_talk,customer_comedy,customer_game,customer_sing,customer_perform,customer_composition,customer_video_edit,customer_foreign_lng
UC1Hr64qXZWAIOpx2PsnAu9A,0,0,0,0,0,0,1,0,0,0,0,0
UC1Je5rfcripQtpev7f-1Idw,0,0,0,0,0,0,0,1,0,0,0,0
UC1KZ0fCa8COVz_DCM3ka_fA,1,0,0,0,0,0,0,0,0,0,0,0
UC1M0hXl3p86WP_eqgv20oWw,0,0,0,0,0,0,0,1,0,0,0,0
UC1O739Bs_hJN35_doH8nwUQ,0,0,0,1,0,0,1,1,0,0,0,0
UC1UtoxnTjGDok3azO2rRkCw,1,0,0,0,0,0,0,0,0,0,0,0
UC1WAEoIIcv5Q3bL9UP5mSSQ,0,0,0,1,1,1,0,0,0,0,0,0
UC1XNdlEVjEsv9yFpehx37lA,0,0,0,0,0,0,1,1,0,0,0,0
UC1_4-bd0eA3cOUiFI-Les6Q,0,0,0,0,0,0,1,0,0,0,0,1
UC1bB4d5Bgv6XnZoN3Lk1qOg,0,0,0,0,1,0,1,1,0,0,0,0
UC1cZuZV_LCYgup-2kakfy2A,0,0,0,0,0,0,1,0,1,0,0,0
UC1eCFqwn3Ds6kDnpMYt0oTQ,0,0,0,1,1,0,1,1,1,0,0,0
UC1g1WYDyOvBxOvUPHIuF6og,0,0,0,0,0,0,1,0,0,0,0,0
UC1jWtttNKgM_wQ7m6ggYFbw,0,0,0,1,1,0,1,1,0,0,0,1
UC1ldvNjvkH1BFxS4jWpsv2g,0,0,0,0,0,0,1,0,0,0,0,0
UC1niXF1Af5HyHt2zH3r5TuA,0,0,0,0,1,1,1,1,0,0,1,0
UC1qyF4v435EjuKNdWtv78hw,0,0,0,1,0,0,1,0,0,0,1,0
UC1rnSfnNW-45z0H-h8eV6zw,1,1,0,0,1,0,1,0,0,0,0,0
UC1sc1mt1Ugm_HJKxZvwyCxQ,0,0,0,1,1,0,0,1,0,0,0,0
UC1xfK2bcKqZ13nDRs0u4iFQ,0,0,0,0,0,0,1,1,0,0,0,0
UC21DkLrQeAnUVokuiKTYVQg,1,0,0,1,0,0,1,1,0,0,0,0
UC21kFbD7byARmZ-oCmyuq5Q,0,0,0,1,1,0,0,1,0,0,0,0
UC24_LEm6ddEpG60uL7F85AQ,1,0,0,0,0,0,1,0,0,0,0,0
UC24jXUR8FlMvxtpZYmQiVqA,0,0,0,0,1,0,1,0,0,0,0,0
UC29o1LO2_FAi_NQar3F4-yw,1,0,0,0,0,0,0,0,0,0,0,0
UC2Cjji6DPdKxHZqXtDiVpiQ,0,0,0,0,0,0,1,0,0,0,1,1
UC2EFpg8OBlhXDTL74SRnIyQ,0,1,1,1,1,0,1,0,0,0,0,0
UC2GSF2gbol49r3e7ZuZupfA,1,0,1,0,0,0,0,0,0,0,0,0
UC2GlSOsnVE9y91AO08IiXwg,0,0,0,1,1,0,0,0,0,0,1,1
UC2JVuvAo74kqPH0GXC8JcBw,0,0,0,0,0,0,0,0,0,1,0,0
UC2JWNoJJ8MRZkgINm2IhH7Q,1,1,0,0,1,0,1,0,0,0,1,1
UC2K8sRze5m27lPGddWX0EXw,0,0,0,0,0,0,1,0,0,0,1,1
UC2MskpxGs5DxC0cof2OltNQ,1,0,0,0,0,0,0,0,0,0,1,1
UC2NQGfCt93EePX0gkUCLPRA,1,1,1,1,1,0,1,0,0,0,0,0
UC2PFRFwwzPst3bdTWE8EuVg,0,0,0,0,0,0,1,0,0,0,0,0
UC2PUfUZJtU18cg96J3XJgGA,0,0,0,0,0,0,0,1,0,0,0,0
UC2RLL3W-negkiUdeAXV9dsw,0,1,0,0,0,0,0,0,0,0,0,0
UC2S6rPELArimAzefPK_uGkQ,1,1,0,0,0,0,0,1,0,0,1,0
UC2Vyy8we1hHf5Qcud01WMjA,0,0,0,1,0,0,0,1,0,0,0,0
UC2YSkjrHkjqW74aVwng_5Lw,0,0,0,0,0,0,1,0,0,0,0,0
UC2ZWmqiY0OJHz1QNS4Bj8Eg,0,0,0,1,1,0,1,0,0,0,0,0
UC2aBQtucR2iIAm_yZhzBPVQ,0,0,0,0,0,0,1,0,0,0,0,0
UC2fzIs-C_0SkjzZPi7dlhuQ,0,0,0,1,1,0,1,1,0,0,0,0
UC2kPnsU0XgIEtRqqpZkM71Q,0,0,0,0,1,0,0,1,0,0,1,0
UC2vSUNvmHcMyph6W-mfRN5A,0,0,0,0,1,0,0,0,0,0,0,0
UC2wvHSuzr8z4XsC37uN_XNg,0,0,0,0,0,0,1,0,0,0,0,0
UC3-_0d6ykHO7_WnIJ7RXU3Q,0,0,0,0,0,0,1,0,0,0,0,0
UC30zKoagHCij0tZZgJrSLFw,0,0,0,0,0,0,1,0,0,0,0,0
UC31Q_uUwjOQhZMcovbK6igQ,1,0,0,1,1,0,0,0,0,0,0,0
UC32RqWFcWXgK_PBfzO9h2Tg,0,0,0,0,1,0,0,1,0,0,0,0
UC38mrZv-qjVWyOs_WObJ9PQ,1,1,0,0,0,0,0,0,0,0,0,0
UC3Cpmk8kGKYlAYOS9c6Igfw,0,0,1,0,0,0,1,0,0,0,0,0
UC3DAn3SqfD81mbVZuW9igUA,0,0,0,0,1,0,0,1,0,0,0,0
UC3DLKdUg39Cv3O0-VZAyrqA,0,0,0,0,0,0,1,1,0,0,0,0
UC3ETsn9cTinBPwW-vUMT7aA,1,0,0,0,0,0,0,0,0,0,0,0
UC3F8DQvG6dh_-A2np-wHq5w,0,0,0,0,0,0,1,0,0,0,0,0
UC3G7IJJAv_epkSur02-tE8A,0,0,0,0,0,0,0,0,1,1,0,0
UC3L6Bf5L2kpofnyi1_qiaDw,0,0,0,1,1,0,0,1,0,1,1,0
UC3LGsPWOj2p6JxP7oRjSl1w,0,0,0,1,0,0,0,0,0,0,0,0
UC3LaieYhkDxMDhQLYlvqynw,0,0,0,1,1,0,1,1,0,0,0,0
UC3Sqg6wZYL1DcdTfc9sQA9Q,0,0,0,0,0,0,0,1,0,0,0,0
UC3Z4nXVK8a0Y3D9MroL7gEA,0,0,0,1,0,0,1,0,0,0,0,0
UC3_Mh4qQS62CWKp45gqnY2A,0,0,0,1,0,0,0,1,0,0,0,0
UC3dU5GPoknYi76xMOM3JbUQ,1,1,0,0,1,0,0,0,0,1,1,0
UC3gzd_poK7UFD2LAkwojiaw,1,1,0,0,0,0,0,0,0,0,0,0
UC3hHO5VuS4YD_rx6e3eFzLA,0,0,0,0,1,0,0,0,0,0,0,0
UC3jDGxI2BmRRHIQ4S3cgSVw,0,0,0,1,1,1,0,0,0,0,1,0
UC3kUzLIMWMIJKt0n_ZqRs9g,0,0,1,1,0,0,1,0,0,0,0,0
UC3n-A4K3F_4tY_0EmpsDfkA,0,0,0,0,0,0,0,1,0,0,0,0
UC3nYB-CnpY7L_2ZaQNeThoA,0,0,0,1,1,0,1,0,0,0,0,0
UC3qwIP8oaDnaGH313D_KgBA,0,0,0,1,0,0,0,1,0,0,1,0
UC3rXkKNOewrbijINM-W0zeA,0,0,0,0,0,0,1,1,1,0,0,0
UC3tOL8JHgdhz4hPU-DKYXNw,0,1,0,0,1,0,0,0,0,0,1,0
UC491xVp6Ip4qz5gTyDRg4Ow,0,0,0,0,0,0,1,0,0,0,0,0
UC4CGFFW708jB2lOz4R2Ymag,0,0,0,0,0,0,1,0,0,0,0,0
UC4K0BPhoZW1MzEHnpk_jhHw,0,0,0,0,0,0,0,0,0,0,1,0
UC4L9QGtCX4Q3F6IECUUlgow,0,0,0,0,0,0,0,0,1,0,0,0
UC4LoSYSUdRjcU9N3SmNEywQ,0,1,0,0,0,0,0,1,0,0,0,0
UC4Vau0DXBRFC-LsyRBhX6hA,1,1,0,0,0,0,0,1,0,0,0,0
UC4VqsDztvXhsdnAOIRs9G6A,0,0,0,0,0,0,0,1,0,0,0,0
UC4a1UiEsk8_itqyIDd_8jsg,1,1,0,0,0,0,0,0,0,0,0,0
UC4a1dbAuhRwTPRNRJ3sRr-Q,1,0,0,0,0,0,1,0,0,0,0,0
UC4aZLkAT3S4ja3MXnicYZzw,1,0,0,1,1,0,1,0,0,0,0,0
UC4abpqV-4CEEB_WHiU4HHCA,0,0,0,0,1,0,1,0,0,0,0,0
UC4aiwUeuq4Ax_sqDM5SAj9g,0,0,0,0,0,1,1,0,0,0,0,0
UC4ajY2pDEm2gVF7XBltMQEA,0,0,0,0,1,0,0,1,0,0,0,0
UC4drTm13k1Keo3Y04tgk6pw,0,0,0,0,1,0,0,0,0,1,0,0
UC4hks00UI5wextQdVkEIB-Q,0,0,0,1,0,0,0,0,0,0,0,0
UC4ijBQknjgBzLPMzpVtlMmQ,0,0,0,0,0,0,1,1,0,0,0,0
