channelId,model_2d,model_3d,model_real
UC1-C-GB_Z5M-sZF_lfl5rSg,1,1,0
UC1-y2SgiExsBDYvH7QLtz2w,1,0,0
UC127k8SWBqfIJ6zQ_R4tUGg,1,0,0
UC12oTwhIFytkX4-muA1pqkQ,0,1,0
UC15aMYGSWSvazgyaHJsvMpQ,1,0,0
UC16DK2sdofXQfShdlf4Bjag,0,1,0
UC16d4b4gNRmPjqaCuOOJVqA,1,0,0
UC18kbpPBYEZAP5QNfrwe8JQ,1,0,0
UC1Aif3EOfTwGcCabhMBwqyg,1,0,0
UC1AyCiv-RzVLZbQOtqyDKzA,1,0,1
UC1BNTyFj6KAeU3fKzTuXhtw,1,0,0
UC1BiQwqgvFNli5m48p4yRqg,1,0,0
UC1CsDaJwtnF8LpwtEqw4P7g,1,0,0
UC1D6BasOxK0jXGRm1HmncaA,0,0,1
UC1EuMVvi1jLLGknHjUnA57g,1,0,0
UC1H4wogIvYz7aVmaDpFA99Q,1,0,0
UC1HQhuOgiY_jjqGIvxbZ6qg,1,0,0
UC1Hr64qXZWAIOpx2PsnAu9A,0,1,0
UC1IT-0HKeukLKPJgO1IrKNQ,1,0,0
UC1JdXcThr1jzytcyEctMrXQ,1,0,0
UC1Je5rfcripQtpev7f-1Idw,1,0,0
UC1KZ0fCa8COVz_DCM3ka_fA,1,0,0
UC1MTQRWL6f3KXYTCH2RgPgg,1,0,0
UC1MgzfwVToAfgnFzQKk4VVA,1,0,0
UC1O739Bs_hJN35_doH8nwUQ,1,0,0
UC1Peil9pJLavm1MLmi1QRdw,1,0,0
UC1PuU61lLiaG3z2pKs57s_Q,0,1,0
UC1Q26URePjbb76wsjwZsjjQ,1,0,0
UC1QpNAV9xNS5P-yAwJLi07A,1,1,0
UC1TX2FBwQRvX9tV6ANd0JqQ,1,0,0
UC1UpLFJux54yXY59AK5aQpg,0,1,0
UC1UtoxnTjGDok3azO2rRkCw,1,0,0
UC1UuJy247gLqtAM7D9ZasIQ,1,0,0
UC1WAEoIIcv5Q3bL9UP5mSSQ,1,0,0
UC1W_wtuIjLlY98KyuvSgOww,1,0,0
UC1XBpufUDUtV5Wyl7RFLUqw,0,1,1
UC1XNdlEVjEsv9yFpehx37lA,1,0,0
UC1XUaqqwuc2E0TyVX3TkQeA,1,0,0
UC1Y2NAD-KvxBuSs_BuWo38g,1,0,0
UC1Y3IUVATadc2JIXJwbk5Yg,1,0,0
UC1ZkwX5yT6XBelfaUXjJE4w,0,1,0
UC1_Sku7k1ylGpmedxx-qUXg,1,0,0
UC1_p__IRAQtKwWwkqLEUb7g,1,0,0
UC1_saaRGJACXrxwjeSKHwVw,0,1,0
UC1_zmbW76ac69MUGP_x77Ow,1,0,0
UC1bB4d5Bgv6XnZoN3Lk1qOg,1,0,0
UC1cZuZV_LCYgup-2kakfy2A,1,0,0
UC1cr_ejM-MY_wJoDL4h6YTA,0,0,1
UC1dFo-n4lltZj0vayj9Vstw,0,1,0
UC1g1WYDyOvBxOvUPHIuF6og,0,1,0
UC1gthO7oC_i01sEwMolmF5Q,1,0,0
UC1jWtttNKgM_wQ7m6ggYFbw,1,0,0
UC1jjalQHCyHemX74K2okpPg,1,1,0
UC1k7H2b0l26nRAVMTa_hEdw,1,0,0
UC1ldvNjvkH1BFxS4jWpsv2g,1,1,0
UC1niXF1Af5HyHt2zH3r5TuA,1,0,0
UC1qyF4v435EjuKNdWtv78hw,1,0,0
UC1rnSfnNW-45z0H-h8eV6zw,0,1,0
UC1sc1mt1Ugm_HJKxZvwyCxQ,1,0,0
UC1t8HU04oBVuQ0pHNHBkFWg,1,0,0
UC1uX7tRaYPdG2NKr9hWbO8w,1,0,0
UC1xfK2bcKqZ13nDRs0u4iFQ,1,0,0
UC1yevqrxcItlPhAqRXaCtAw,0,1,0
UC1zFyBGVeipwNJgAtdimuSQ,1,0,0
UC21DkLrQeAnUVokuiKTYVQg,1,1,0
UC21WDVM_OEz1vPxIM2Ik54w,0,1,0
UC22x2n5FZXscqZUv9agLNdg,1,0,0
UC23peOPQ0qQLLME5TwDP6AA,1,0,0
UC24_LEm6ddEpG60uL7F85AQ,1,0,0
UC24jXUR8FlMvxtpZYmQiVqA,1,0,0
UC27q1VXrKKVodfVM2Kjft8A,1,1,0
UC29o1LO2_FAi_NQar3F4-yw,1,0,0
UC2Cjji6DPdKxHZqXtDiVpiQ,0,1,0
UC2EFpg8OBlhXDTL74SRnIyQ,1,0,0
UC2F-iVX7SnKrlkYBn6K8yMg,0,1,0
UC2GSF2gbol49r3e7ZuZupfA,1,1,0
UC2GlSOsnVE9y91AO08IiXwg,1,0,0
UC2IStAXeLv5ZtdxyA-5IyRg,1,0,0
UC2JVuvAo74kqPH0GXC8JcBw,1,0,0
UC2JWNoJJ8MRZkgINm2IhH7Q,1,0,0
UC2K8sRze5m27lPGddWX0EXw,0,1,0
UC2KsKo_1ZYQ-dAyTDOnnbgw,1,0,0
UC2MkLU3GCVJpD58pSkP18Nw,1,0,0
UC2MskpxGs5DxC0cof2OltNQ,1,0,0
UC2NLsugIKXVwEotOWHauZTw,1,0,0
UC2NQGfCt93EePX0gkUCLPRA,1,0,0
UC2O69Qurqdd_LMU_dEaZQng,0,1,0
UC2PFRFwwzPst3bdTWE8EuVg,0,1,0
UC2PUfUZJtU18cg96J3XJgGA,1,0,0
UC2RLL3W-negkiUdeAXV9dsw,1,0,0
UC2RXm99-WUXpUC76K6WrSXA,0,1,0
UC2S6rPELArimAzefPK_uGkQ,1,0,0
UC2U7lhBArDWktp7PzAr0ScQ,1,0,0
UC2ULtJYtXH_wE-d4ccYcN_w,1,0,0
UC2Vyy8we1hHf5Qcud01WMjA,0,1,0
UC2X1AKh0vXVCxTC0TEqIGQA,0,0,1
UC2YSkjrHkjqW74aVwng_5Lw,1,0,0
UC2YqwgoSsADGXFP47mAlt4A,1,0,0
UC2Z0gWiVWxQYMg4iUAymv5A,1,0,1
UC2ZWmqiY0OJHz1QNS4Bj8Eg,0,0,1
UC2_zraR87nak_nldprzrDZQ,1,1,0
UC2aBQtucR2iIAm_yZhzBPVQ,1,0,0
UC2dJpxRY3LdQMasgyxPpQ3g,1,0,0
UC2fzIs-C_0SkjzZPi7dlhuQ,1,0,0
UC2iBNNh1MgVMuXZdMpH7jkA,1,0,0
UC2ipRk9sIWR04X-a0_m3lGg,1,0,0
UC2j1hBPwbjzGN1H-ggUIAjQ,1,0,0
UC2kI5KnUHmqsPg9eKn9zaIw,1,0,0
UC2kPnsU0XgIEtRqqpZkM71Q,1,1,0
UC2lw2kyLpgJ5RmXO8hKdNMA,1,1,0
UC2qm85KxNGsi-a6PxiLBNsQ,1,0,0
UC2rxYoldK75jejdjpmySpUw,1,0,0
UC2sZQIn1hMKqxmgcJaflKOw,1,0,0
UC2tO6jjLG20H-RymbOOQOkw,1,0,0
UC2tTwRTqazCbV3pRPOrWtwQ,1,0,0
UC2um9MgjkZ1CD6lKsuNQ5XA,1,0,0
UC2vSUNvmHcMyph6W-mfRN5A,0,1,1
UC2wRhHUEqwDJ-ObXPwvXgSA,1,0,0
UC2wvHSuzr8z4XsC37uN_XNg,1,1,0
UC2ybYBmjnfyZALmqhvf8RBw,0,1,0
UC3-_0d6ykHO7_WnIJ7RXU3Q,0,1,0
UC32RqWFcWXgK_PBfzO9h2Tg,1,0,0
UC34EmdfP6WOGpScAv6fHzIg,1,0,0
UC34e551MVRilbAMXx-PaRhg,1,0,0
UC351yfH4jskbL-ob8FAkveQ,1,0,0
UC38HmFHdYe7rbT7OMPnW-gg,0,1,0
UC38mrZv-qjVWyOs_WObJ9PQ,1,0,0
UC38pUkua3_nvjtgYkeAdfOA,0,1,0
UC3Bqgso86ZqqKR2hfQmH_0A,1,0,0
UC3Cpmk8kGKYlAYOS9c6Igfw,0,1,0
UC3DLKdUg39Cv3O0-VZAyrqA,1,1,0
UC3ETsn9cTinBPwW-vUMT7aA,1,0,0
UC3EsZDM-wwSil8XyPh2UZAA,1,0,0
UC3F8DQvG6dh_-A2np-wHq5w,1,0,0
UC3FjCAaiegwI2TrKQPMwFxg,1,0,0
UC3G7IJJAv_epkSur02-tE8A,0,1,0
UC3IKHXGkty6bPCvJkU46PRw,1,0,0
UC3IY5Sl-SbsuNtdbNTil1Uw,1,0,0
UC3IyKqfP9hN8ecTTDm4ai9A,1,0,0
UC3L6Bf5L2kpofnyi1_qiaDw,1,0,0
UC3LBMEUxtU5ngXYodie86ug,1,0,0
