channelId,collabo_level
UCsUGTxM3VOrKKMgYijSebUg,5
UCcMTZJ3NuaiQXMBMz2r6JlA,5
UCNIF3pCLSTiaVzTDTKOYMlg,5
UCjM726Lgt4wnoNNPQxobDnQ,5
UCUO-qF1RHXlACVv9Kk6tqQA,5
UCuiC-u76QFlayWCbxSS8Eog,5
UCmm5zXNh3IUXI2KiAe_Ae-g,5
UCXqwkK6zlTYYRNlUbo21YuQ,5
UC6uqxSyfR4vnb--6vjfzU5A,5
UCpJHx_UNjHRuM1miNUY18Cg,5
UC_LQWk4Q2JOcXzr6HNnYFkg,5
UC8yMxTziSKvQ41g6rxNcwKQ,5
UCgfhmzCA1skPuhBorW5Fj1Q,5
UCRnlHD29u4VKrpaiQV-tTTg,5
UCsABPC_SPKUaf7BkZGs4wbQ,5
UCbyjhEB9zq8_lbzO3nFA1CQ,5
UCjAFFirj1OHO2MuC-NZfvSg,5
UCUB32ZF3KEiT_l5K_xPM-LQ,5
UCuL6dATKrZn-H_VTI7z6pNw,5
UCeB2goVR4zG7Jqafh_NYyfw,5
UCmcnC87X0doiKsBtVJEOAQw,5
UCXaU-p_HhLoGEkjBh25qj3w,5
UC6XEofw_jOSc1ne6F97NOTA,5
UCp59X3rwdKopx8DkfJ4J9_Q,5
UCZwsOhl_T0k2Sgf7S3JReNQ,5
UC8Xfq87xcmxbKd7XL0ouVXA,5
UCgWyZOhwXjozIsX0itOomDA,5
UCR81qi4Q3ZKX5xwgYnmqMXQ,5
UCri7Aft0jr2Jd0wIdTft84A,5
UCbaKuJMpoE5hoOiU7TgT5mA,5
UCizTBognnhbuJslC44phkGA,5
UCTpruv9I-0Zy-7FFu0-qoIw,5
UCu3aGBUMXeG9a3R4Btd4-hQ,5
UCe10vwfJ2b9EQh6XX2WXE6g,5
UCmOba0E0A8Xf98L70pELkJA,5
UCXJSdqdWOFL10qviJy_axjA,5
UC6Kln87nNB7J29HIb8b_PFw,5
UCommFt58qGRFrYHJmsmUfBQ,5
UCZp_9ppEu_2pKxdPkvb3M0g,5
UCgKH6CVq4FVesKl5tU9sCvQ,5
UCwyVGkzt4PJ_tN5LtY-mJbA,5
UCQlXGu43ms0xBUEPh7Mx8fA,5
UCBNeqMlQ0G7WnaiN3iF-Tpg,5
UCrT2eERC1vXTmM6j8Q7PxNw,5
UC0glUvSvUtdYkGeI-HuhypQ,5
UCMPGW-nQZ7iB4UFx5MaBxMg,5
UCzaA_5Id4_UG6pziHLKWHXA,5
UCWxXVDBhHSauvarC9sIDoHw,5
UCINSDxcNofl8Pj0aGlI42DQ,5
UCZSCGEcUD5sekIsc8MgeSVw,5
UC9qTGOH8ouDq18Plox9AGHQ,5
UCKWwV1HHlTM1jw8znW4HI2A,5
UCb66nLy3P7regsqm0e9Jukg,5
UC5J9kElSRDDlaQc2-BSKLoQ,5
UCCdaDoKkufKg5xX0Lf3SmXQ,5
UCdROfxZEhGocZ1BcEsKMlmA,5
UC3-_0d6ykHO7_WnIJ7RXU3Q,5
UC7GdYDv6vgIJ38Vykssq7PQ,5
UCWjsvWmG2aV-WEMXv7ucLAw,5
UCwaGth1BBFf5CgjdjyX_opg,5
UC9Yt2vIqFD2vS7-W8wKrPmQ,5
UCZ7e7KqFfovnRS1U2bPy48w,5
UCzPD-dR4cpqI6ZmoTbXnkMQ,5
UCPa8U89SI8vVRkMaLUaBrUw,5
