channelId,customer_illust,customer_2d_modeling,customer_3d_modeling,customer_event,customer_talk,customer_comedy,customer_game,customer_sing,customer_perform,customer_composition,customer_video_edit,customer_foreign_lng,cluster
UC-oclVGZWejWQqm3a77m92A,0,0,0,1,0,0,1,0,0,0,0,0,3:お笑い・企画
UC-paul1Nd8pnK2eAAtxAaYw,0,0,0,0,0,0,0,1,0,0,0,0,5:音楽・外国語
UC-rOEaaqTBZKIO6jSdXpdPQ,0,0,0,1,1,1,1,1,0,0,0,0,3:お笑い・企画
UC-s7Qogbwocsd6r5ws4FyaA,0,0,0,0,1,0,0,0,0,0,0,0,1:特技なし
UC-vawMwEtWJ6u9adL2uclbg,1,1,1,0,0,0,0,1,0,0,1,0,4:イラスト・モデリング
UC-wEjZjIcmhccDXEOo-vCsg,1,0,0,0,0,0,1,0,0,0,0,0,4:イラスト・モデリング
UC-wZpxe-sOkaJPAL88F4nhg,0,0,0,1,1,0,0,0,0,0,0,0,3:お笑い・企画
UC0-fiHH0MWrG1JMQi-2YDAQ,1,1,1,0,0,0,1,1,0,0,0,0,4:イラスト・モデリング
UC04Lp4fnMhrFNYM8PWbRiZg,0,0,1,1,0,0,0,0,0,0,1,0,6:動画編集
UC05YP2Cw4HEQ6ArGYyyMcgg,0,0,1,0,0,0,0,0,0,0,0,0,4:イラスト・モデリング
UC06VqaCdzE-WFS1ErD-vWTQ,0,1,0,0,1,0,0,0,0,0,0,0,4:イラスト・モデリング
UC07JX3oF-bJn_jVfNRwmMXw,0,0,0,1,1,0,1,0,0,0,0,0,3:お笑い・企画
UC07Ox8mQhE-bROLNbUOy2BA,0,0,0,1,0,0,0,0,0,0,0,0,3:お笑い・企画
UC08TI5fvi8KTaT5JXend4-w,0,0,0,0,1,1,1,0,0,0,0,0,3:お笑い・企画
UC0AOSe8rC8zF1GWjcrbEttg,1,0,0,1,0,0,1,0,0,0,0,0,4:イラスト・モデリング
UC0EdVFIxQY95pQmu1BTPoqg,1,1,0,0,0,0,0,0,0,0,0,0,4:イラスト・モデリング
UC0LFEzDw6vUN1tDvBvCT6-Q,0,0,0,1,0,0,0,1,1,1,1,0,5:音楽・外国語
UC0LXAhHz-IJeXwvklew_jig,0,0,0,0,1,0,1,1,0,0,0,0,1:特技なし
UC0P3jtkvQjZNLlGDuPMBq6g,1,0,0,0,0,0,0,0,0,0,0,0,4:イラスト・モデリング
UC0QO7Ecmv75MFV_ru89fTeQ,0,0,1,1,1,0,0,0,0,0,1,0,6:動画編集
UC0SK2WVy_aVAaa14ep6WHCg,0,0,0,1,1,0,0,0,0,0,0,0,3:お笑い・企画
UC0UXEbX8VV4Cggnxg_f5A_Q,0,0,0,0,1,0,1,0,0,0,0,0,1:特技なし
UC0ZbCzmJ_MN4qzvC09aNZtA,0,0,0,0,0,0,1,0,0,0,0,0,2:ゲーム
UC0boJYCv_7IZng-7ipsvzAw,1,1,0,0,0,0,1,1,0,0,0,0,4:イラスト・モデリング
UC0nasgeLGQZYGQdfhu6b-SQ,0,0,0,0,0,0,0,1,0,0,0,0,5:音楽・外国語
UC0qhw3KdajqiUshNfU26-nA,1,0,0,0,0,0,0,1,0,0,0,0,4:イラスト・モデリング
UC0wQk-NWk9SNTY5vpzeWc3w,0,0,0,1,1,0,1,1,0,0,0,1,5:音楽・外国語
UC0wzKgdczgwcFlHsbylBOfg,0,0,0,0,0,0,1,0,0,0,0,0,2:ゲーム
UC0yUtSIpcVTO8dpyhFqbS_g,1,0,0,0,1,0,0,1,0,0,0,0,4:イラスト・モデリング
UC10Hvs8hwlKbERjpkHTzEWA,0,0,0,0,0,0,1,0,0,0,0,0,2:ゲーム
UC12oTwhIFytkX4-muA1pqkQ,0,0,1,0,0,0,1,0,0,0,0,0,4:イラスト・モデリング
UC15XtnvAiHPHgll2l8KV_gw,1,1,0,0,0,0,1,0,0,0,0,0,4:イラスト・モデリング
UC15aMYGSWSvazgyaHJsvMpQ,0,0,1,0,0,0,0,0,0,0,1,0,4:イラスト・モデリング
UC16DK2sdofXQfShdlf4Bjag,0,0,0,0,0,0,1,1,0,0,0,0,5:音楽・外国語
UC16d4b4gNRmPjqaCuOOJVqA,0,0,0,1,0,0,0,0,0,0,0,0,3:お笑い・企画
UC1Aif3EOfTwGcCabhMBwqyg,0,0,0,1,0,0,1,0,0,0,0,0,3:お笑い・企画
UC1AyCiv-RzVLZbQOtqyDKzA,1,1,0,1,1,1,1,0,0,0,0,0,4:イラスト・モデリング
UC1B8BqE9nhTIVh-egZPGZbA,0,0,0,1,1,1,0,0,0,0,0,0,3:お笑い・企画
UC1BiQwqgvFNli5m48p4yRqg,0,0,0,0,1,0,1,1,0,0,0,0,1:特技なし
UC1D6BasOxK0jXGRm1HmncaA,0,0,1,0,1,0,0,0,0,0,0,0,4:イラスト・モデリング
UC1EQ9lzCXxgFuqJSakCVy1w,1,1,0,0,0,0,0,0,0,0,0,0,4:イラスト・モデリング
UC1H4wogIvYz7aVmaDpFA99Q,1,0,0,0,0,0,1,0,0,0,0,0,4:イラスト・モデリング
UC1Hr64qXZWAIOpx2PsnAu9A,0,0,0,0,0,0,1,0,0,0,0,0,2:ゲーム
UC1Je5rfcripQtpev7f-1Idw,0,0,0,0,0,0,0,1,0,0,0,0,5:音楽・外国語
UC1KZ0fCa8COVz_DCM3ka_fA,1,0,0,0,0,0,0,0,0,0,0,0,4:イラスト・モデリング
UC1M0hXl3p86WP_eqgv20oWw,0,0,0,0,0,0,0,1,0,0,0,0,5:音楽・外国語
UC1O739Bs_hJN35_doH8nwUQ,0,0,0,1,0,0,1,1,0,0,0,0,5:音楽・外国語
UC1UtoxnTjGDok3azO2rRkCw,1,0,0,0,0,0,0,0,0,0,0,0,4:イラスト・モデリング
UC1WAEoIIcv5Q3bL9UP5mSSQ,0,0,0,1,1,1,0,0,0,0,0,0,3:お笑い・企画
UC1XNdlEVjEsv9yFpehx37lA,0,0,0,0,0,0,1,1,0,0,0,0,5:音楽・外国語
UC1_4-bd0eA3cOUiFI-Les6Q,0,0,0,0,0,0,1,0,0,0,0,1,5:音楽・外国語
UC1bB4d5Bgv6XnZoN3Lk1qOg,0,0,0,0,1,0,1,1,0,0,0,0,1:特技なし
UC1cZuZV_LCYgup-2kakfy2A,0,0,0,0,0,0,1,0,1,0,0,0,5:音楽・外国語
UC1eCFqwn3Ds6kDnpMYt0oTQ,0,0,0,1,1,0,1,1,1,0,0,0,3:お笑い・企画
UC1g1WYDyOvBxOvUPHIuF6og,0,0,0,0,0,0,1,0,0,0,0,0,2:ゲーム
UC1jWtttNKgM_wQ7m6ggYFbw,0,0,0,1,1,0,1,1,0,0,0,1,5:音楽・外国語
UC1ldvNjvkH1BFxS4jWpsv2g,0,0,0,0,0,0,1,0,0,0,0,0,2:ゲーム
UC1niXF1Af5HyHt2zH3r5TuA,0,0,0,0,1,1,1,1,0,0,1,0,1:特技なし
UC1qyF4v435EjuKNdWtv78hw,0,0,0,1,0,0,1,0,0,0,1,0,6:動画編集
UC1rnSfnNW-45z0H-h8eV6zw,1,1,0,0,1,0,1,0,0,0,0,0,4:イラスト・モデリング
UC1sc1mt1Ugm_HJKxZvwyCxQ,0,0,0,1,1,0,0,1,0,0,0,0,3:お笑い・企画
UC1xfK2bcKqZ13nDRs0u4iFQ,0,0,0,0,0,0,1,1,0,0,0,0,5:音楽・外国語
UC21DkLrQeAnUVokuiKTYVQg,1,0,0,1,0,0,1,1,0,0,0,0,4:イラスト・モデリング
UC21kFbD7byARmZ-oCmyuq5Q,0,0,0,1,1,0,0,1,0,0,0,0,3:お笑い・企画
UC24_LEm6ddEpG60uL7F85AQ,1,0,0,0,0,0,1,0,0,0,0,0,4:イラスト・モデリング
UC24jXUR8FlMvxtpZYmQiVqA,0,0,0,0,1,0,1,0,0,0,0,0,1:特技なし
UC29o1LO2_FAi_NQar3F4-yw,1,0,0,0,0,0,0,0,0,0,0,0,4:イラスト・モデリング
UC2Cjji6DPdKxHZqXtDiVpiQ,0,0,0,0,0,0,1,0,0,0,1,1,5:音楽・外国語
UC2EFpg8OBlhXDTL74SRnIyQ,0,1,1,1,1,0,1,0,0,0,0,0,4:イラスト・モデリング
UC2GSF2gbol49r3e7ZuZupfA,1,0,1,0,0,0,0,0,0,0,0,0,4:イラスト・モデリング
UC2GlSOsnVE9y91AO08IiXwg,0,0,0,1,1,0,0,0,0,0,1,1,5:音楽・外国語
UC2JVuvAo74kqPH0GXC8JcBw,0,0,0,0,0,0,0,0,0,1,0,0,5:音楽・外国語
UC2JWNoJJ8MRZkgINm2IhH7Q,1,1,0,0,1,0,1,0,0,0,1,1,4:イラスト・モデリング
UC2K8sRze5m27lPGddWX0EXw,0,0,0,0,0,0,1,0,0,0,1,1,5:音楽・外国語
UC2MskpxGs5DxC0cof2OltNQ,1,0,0,0,0,0,0,0,0,0,1,1,5:音楽・外国語
UC2NQGfCt93EePX0gkUCLPRA,1,1,1,1,1,0,1,0,0,0,0,0,4:イラスト・モデリング
UC2PFRFwwzPst3bdTWE8EuVg,0,0,0,0,0,0,1,0,0,0,0,0,2:ゲーム
UC2PUfUZJtU18cg96J3XJgGA,0,0,0,0,0,0,0,1,0,0,0,0,5:音楽・外国語
UC2RLL3W-negkiUdeAXV9dsw,0,1,0,0,0,0,0,0,0,0,0,0,4:イラスト・モデリング
UC2S6rPELArimAzefPK_uGkQ,1,1,0,0,0,0,0,1,0,0,1,0,6:動画編集
UC2Vyy8we1hHf5Qcud01WMjA,0,0,0,1,0,0,0,1,0,0,0,0,3:お笑い・企画
UC2YSkjrHkjqW74aVwng_5Lw,0,0,0,0,0,0,1,0,0,0,0,0,2:ゲーム
UC2ZWmqiY0OJHz1QNS4Bj8Eg,0,0,0,1,1,0,1,0,0,0,0,0,3:お笑い・企画
UC2aBQtucR2iIAm_yZhzBPVQ,0,0,0,0,0,0,1,0,0,0,0,0,2:ゲーム
UC2fzIs-C_0SkjzZPi7dlhuQ,0,0,0,1,1,0,1,1,0,0,0,0,1:特技なし
UC2kPnsU0XgIEtRqqpZkM71Q,0,0,0,0,1,0,0,1,0,0,1,0,6:動画編集
UC2vSUNvmHcMyph6W-mfRN5A,0,0,0,0,1,0,0,0,0,0,0,0,1:特技なし
UC2wvHSuzr8z4XsC37uN_XNg,0,0,0,0,0,0,1,0,0,0,0,0,2:ゲーム
UC3-_0d6ykHO7_WnIJ7RXU3Q,0,0,0,0,0,0,1,0,0,0,0,0,2:ゲーム
UC30zKoagHCij0tZZgJrSLFw,0,0,0,0,0,0,1,0,0,0,0,0,2:ゲーム
UC31Q_uUwjOQhZMcovbK6igQ,1,0,0,1,1,0,0,0,0,0,0,0,4:イラスト・モデリング
UC32RqWFcWXgK_PBfzO9h2Tg,0,0,0,0,1,0,0,1,0,0,0,0,1:特技なし
UC38mrZv-qjVWyOs_WObJ9PQ,1,1,0,0,0,0,0,0,0,0,0,0,4:イラスト・モデリング
UC3Cpmk8kGKYlAYOS9c6Igfw,0,0,1,0,0,0,1,0,0,0,0,0,4:イラスト・モデリング
UC3DAn3SqfD81mbVZuW9igUA,0,0,0,0,1,0,0,1,0,0,0,0,1:特技なし
UC3DLKdUg39Cv3O0-VZAyrqA,0,0,0,0,0,0,1,1,0,0,0,0,5:音楽・外国語
UC3ETsn9cTinBPwW-vUMT7aA,1,0,0,0,0,0,0,0,0,0,0,0,4:イラスト・モデリング
UC3F8DQvG6dh_-A2np-wHq5w,0,0,0,0,0,0,1,0,0,0,0,0,2:ゲーム
UC3G7IJJAv_epkSur02-tE8A,0,0,0,0,0,0,0,0,1,1,0,0,5:音楽・外国語
UC3L6Bf5L2kpofnyi1_qiaDw,0,0,0,1,1,0,0,1,0,1,1,0,5:音楽・外国語
UC3LGsPWOj2p6JxP7oRjSl1w,0,0,0,1,0,0,0,0,0,0,0,0,3:お笑い・企画
UC3LaieYhkDxMDhQLYlvqynw,0,0,0,1,1,0,1,1,0,0,0,0,1:特技なし
UC3Sqg6wZYL1DcdTfc9sQA9Q,0,0,0,0,0,0,0,1,0,0,0,0,5:音楽・外国語
UC3Z4nXVK8a0Y3D9MroL7gEA,0,0,0,1,0,0,1,0,0,0,0,0,3:お笑い・企画
UC3_Mh4qQS62CWKp45gqnY2A,0,0,0,1,0,0,0,1,0,0,0,0,3:お笑い・企画
UC3dU5GPoknYi76xMOM3JbUQ,1,1,0,0,1,0,0,0,0,1,1,0,6:動画編集
UC3gzd_poK7UFD2LAkwojiaw,1,1,0,0,0,0,0,0,0,0,0,0,4:イラスト・モデリング
UC3hHO5VuS4YD_rx6e3eFzLA,0,0,0,0,1,0,0,0,0,0,0,0,1:特技なし
UC3jDGxI2BmRRHIQ4S3cgSVw,0,0,0,1,1,1,0,0,0,0,1,0,6:動画編集
